Gillan,Cedar,0,26/10/1999,1,77,32,23,44,405100000
Jenilee,Dalton,1,13/11/1998,0,82,4,50,45.3,405100001
Judith,Bohlin,1,04/07/1999,1,17,93,9,39.7,405100002
Dotti,Catherin,0,29/08/1999,1,37,54,39,43.3,405100003
Trula,Davy,0,29/04/1999,0,1,59,32,30.7,405100004
Lonnie,Daney,2,30/09/1999,0,65,4,72,47,405100005
Sonnnie,Alpers,0,08/07/1999,0,31,63,28,40.7,405100006
Elset,Allyn,1,13/09/1999,0,78,59,48,61.7,405100007
Maxine,Argile,1,29/09/1999,1,96,14,88,66,405100008
Noella,Cherri,3,29/12/1998,0,51,1,69,40.3,405100009
Kelly,Aggappora,0,12/11/1999,1,27,78,61,55.3,405100010
Gladi,Cain,1,01/05/1999,0,63,22,60,48.3,405100011
Tess,Astri,1,09/02/1999,0,51,100,83,78,405100012
Casandra,Byran,1,14/07/1999,0,46,50,65,53.7,405100013
Debbi,Chipman,2,16/01/1999,1,10,75,76,53.7,405100014
Mildred,Chastain,2,21/09/1999,0,75,72,50,65.7,405100015
Benni,Brandon,2,26/10/1999,1,35,71,61,55.7,405100016
Colene,Chasse,0,19/10/1999,0,30,79,42,50.3,405100017
Joann,Amelia,2,03/01/1999,1,90,84,2,58.7,405100018
Shirlee,Bornstein,1,07/01/1999,0,63,85,40,62.7,405100019
Nerti,Ashelman,2,15/05/1999,0,37,40,13,30,405100020
Lil,Blight,2,18/07/1999,0,100,51,40,63.7,405100021
Arlina,Certie,1,12/08/1999,0,64,85,36,61.7,405100022
Francyne,Camey,3,24/02/1999,1,3,65,34,34,405100023
Kore,Bronwen,3,22/07/1999,1,33,81,55,56.3,405100024
Marj,Anthia,3,07/09/1999,0,84,59,73,72,405100025
Zabrina,Burk,3,09/05/1999,1,41,69,5,38.3,405100026
Tabby,Chesney,3,08/04/1999,1,6,45,86,45.7,405100027
Dinah,Alake,3,02/11/1999,1,27,81,93,67,405100028
Minerva,Aholla,2,17/12/1998,1,56,45,99,66.7,405100029
Babette,Cynde,1,20/03/1999,1,89,69,44,67.3,405100030
Danyette,Adlei,0,11/02/1999,0,52,1,10,21,405100031
Tommi,Barthelemy,0,16/11/1998,0,4,74,81,53,405100032
